class	class label	def	unmatched_term	rhea_chebi_id	rhea_chebi_id label	info	score	rhea	ec	metacyc
GO:0033971	hydroxyisourate hydrolase activity	Catalysis of the reaction: 5-hydroxyisourate + H(2)O = 5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate + H(+).	H(2)O							
GO:0033971	hydroxyisourate hydrolase activity	Catalysis of the reaction: 5-hydroxyisourate + H(2)O = 5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate + H(+).	H(2)O							
GO:0140062	5-formylcytosine dioxygenase activity	Catalysis of the reaction: 5-formylcytosine+ 2-oxoglutarate + O2 = 5-carboxylcytosine + succinate + CO2.	5-formylcytosine+ 2-oxoglutarate							
GO:0036190	indole-2-monooxygenase activity	Catalysis of the reaction: indole + NAD(P)H + H+ + O2 = indolin-2-one + NAD(P)+ + H2O.	NAD(P)+							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0052686	perillic acid:CoA ligase (AMP-forming) activity	Catalysis of the reaction: perillic acid + CoA-SH + ATP = H2O + AMP + diphosphate + perillyl-CoA.	perillyl-CoA							
GO:0047868	dimethylmaleate hydratase activity	Catalysis of the reaction: (2R,3S)-2,3-dimethylmalate = dimethylmaleate + H(2)O.	H(2)O							
GO:0047868	dimethylmaleate hydratase activity	Catalysis of the reaction: (2R,3S)-2,3-dimethylmalate = dimethylmaleate + H(2)O.	H(2)O							
GO:0062076	acyl-CoA delta5-desaturase activity	Catalysis of the reaction: acyl-CoA + reduced acceptor + O2 = delta5-acyl-CoA + acceptor + 2 H2O.	reduced acceptor							
GO:0062076	acyl-CoA delta5-desaturase activity	Catalysis of the reaction: acyl-CoA + reduced acceptor + O2 = delta5-acyl-CoA + acceptor + 2 H2O.	delta5-acyl-CoA							
GO:0008666	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	Catalysis of the reaction: (S)-2,3,4,5-tetrahydrodipicolinate + H(2)O + succinyl-CoA = L-2-succinylamino-6-oxopimelate + CoA.	H(2)O							
GO:0008666	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	Catalysis of the reaction: (S)-2,3,4,5-tetrahydrodipicolinate + H(2)O + succinyl-CoA = L-2-succinylamino-6-oxopimelate + CoA.	H(2)O							
GO:0043958	acryloyl-CoA reductase activity	Catalysis of the reaction: acryloyl-CoA + NADH + H+ + a reduced electron-transfer flavoprotein = propionyl-CoA + NAD+ + an oxidized electron-transfer flavoprotein.	reduced electron-transfer flavoprotein							
GO:0043958	acryloyl-CoA reductase activity	Catalysis of the reaction: acryloyl-CoA + NADH + H+ + a reduced electron-transfer flavoprotein = propionyl-CoA + NAD+ + an oxidized electron-transfer flavoprotein.	oxidized electron-transfer flavoprotein							
GO:0044014	histone acetyltransferase activity (H2B-K5 specific)	Catalysis of the reaction: acetyl-CoA + histone H2B L-lysine (position 5) = CoA + histone H2B N6-acetyl-L-lysine (position 5).	histone H2B L-lysine (position 5)							
GO:0044014	histone acetyltransferase activity (H2B-K5 specific)	Catalysis of the reaction: acetyl-CoA + histone H2B L-lysine (position 5) = CoA + histone H2B N6-acetyl-L-lysine (position 5).	histone H2B N6-acetyl-L-lysine (position 5)							
GO:0044014	histone acetyltransferase activity (H2B-K5 specific)	Catalysis of the reaction: acetyl-CoA + histone H2B L-lysine (position 5) = CoA + histone H2B N6-acetyl-L-lysine (position 5).	histone H2B L-lysine (position 5)							
GO:0044014	histone acetyltransferase activity (H2B-K5 specific)	Catalysis of the reaction: acetyl-CoA + histone H2B L-lysine (position 5) = CoA + histone H2B N6-acetyl-L-lysine (position 5).	histone H2B N6-acetyl-L-lysine (position 5)							
