rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
((9Z)-hexadecenoyl-tetradecanoyl)-(Kdo)2-lipid A	related	UniProt	CHEBI:61522	(KDO)2-(palmitoleoyl-myristoyl)-lipid A(6-)				different_inchikeys
(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol	exact	UniProt	CHEBI:137564	(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol				different_inchikeys
(+)-(2S,3R,9R)-pristinol	exact	UniProt	CHEBI:138165	(+)-(2S,3R,9R)-pristinol				different_inchikeys
(+)-(R)-germacrene A	related	UniProt	CHEBI:41595	(+)-germacrene A				different_inchikeys
(+)-2-epi-prezizaene	exact	UniProt	CHEBI:62762	(+)-2-epi-prezizaene				different_inchikeys
(+)-3'-hydroxylarreatricin	exact	UniProt	CHEBI:67154	(+)-3'-hydroxylarreatricin				different_inchikeys
(+)-5-epi-aristolochene	exact	UniProt	CHEBI:23925	(+)-5-epi-aristolochene				different_inchikeys
(+)-6-endo-hydroxycamphor	exact	UniProt	CHEBI:64787	(+)-6-endo-hydroxycamphor				different_inchikeys
(+)-6-exo-hydroxycamphor	exact	UniProt	CHEBI:64786	(+)-6-exo-hydroxycamphor				different_inchikeys
(+)-6a-hydroxymaackiain	exact	UniProt	CHEBI:43129	(+)-6a-hydroxymaackiain				different_inchikeys
(+)-7-isojasmonate	exact	UniProt	CHEBI:136179	(+)-7-isojasmonate				different_inchikeys
(+)-8'-hydroxyabscisate	exact	UniProt	CHEBI:58490	(+)-8'-hydroxyabscisate				different_inchikeys
(+)-O-methylkolavelool	exact	UniProt	CHEBI:139480	(+)-O-methylkolavelool				different_inchikeys
(+)-T-muurolol	related	UniProt	CHEBI:63704	(+)-Tau-muurolol				different_inchikeys
(+)-abscisic acid D-glucopyranosyl ester	exact	UniProt	CHEBI:62436	(+)-abscisic acid D-glucopyranosyl ester				different_inchikeys
(+)-alpha-barbatene	exact	UniProt	CHEBI:61690	(+)-alpha-barbatene				different_inchikeys
(+)-alpha-santalene	exact	UniProt	CHEBI:61677	(+)-alpha-santalene				different_inchikeys
(+)-alpha-tocopherol	exact	UniProt	CHEBI:18145	(+)-alpha-tocopherol				different_inchikeys
(+)-amorpha-4,11-diene	related	UniProt	CHEBI:52026	amorpha-4,11-diene				different_inchikeys
(+)-aristolochene	exact	UniProt	CHEBI:43445	(+)-aristolochene				different_inchikeys
(+)-artemisinate	exact	UniProt	CHEBI:64782	(+)-artemisinate				different_inchikeys
(+)-artemisinic alcohol	exact	UniProt	CHEBI:64783	(+)-artemisinic alcohol				different_inchikeys
(+)-artemisinic aldehyde	related	UniProt	CHEBI:64688	artemisinic aldehyde				different_inchikeys
(+)-beta-caryophyllene	exact	UniProt	CHEBI:63190	(+)-beta-caryophyllene				different_inchikeys
(+)-beta-chamigrene	exact	UniProt	CHEBI:61746	(+)-beta-chamigrene				different_inchikeys
(+)-beta-pinene	exact	UniProt	CHEBI:50026	(+)-beta-pinene				different_inchikeys
(+)-beta-selinene	exact	NIST_Chemistry_WebBook|UniProt	CHEBI:10443	(+)-beta-selinene				different_inchikeys
(+)-car-3-ene	exact	UniProt	CHEBI:7	(+)-car-3-ene				different_inchikeys
(+)-caryolan-1-ol	exact	UniProt	CHEBI:63196	(+)-caryolan-1-ol				different_inchikeys
(+)-cis-trans-nepetalactol	related	UniProt	CHEBI:26	(+)-iridodial lactol				different_inchikeys
(+)-copalol	exact	UniProt	CHEBI:76943	(+)-copalol				different_inchikeys
(+)-copalyl diphosphate	related	UniProt	CHEBI:58635	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate(3-)				different_inchikeys
(+)-corvol ether A	exact	UniProt	CHEBI:137535	(+)-corvol ether A				different_inchikeys
(+)-corvol ether B	exact	UniProt	CHEBI:137536	(+)-corvol ether B				different_inchikeys
(+)-costunolide	related	ChEBI|UniProt	CHEBI:3900	costunolide				different_inchikeys
(+)-cubenene	exact	UniProt	CHEBI:61685	(+)-cubenene				different_inchikeys
(+)-dehydrodiconiferyl acid	related	UniProt	CHEBI:131937	ent-glycosmisate	related+http://purl.obolibrary.org/obo/CHEBI_132257		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(+)-dehydrodiconiferyl acid carboxylate	related	UniProt	CHEBI:131935	(+)-DCA-CC(2-)	related+http://purl.obolibrary.org/obo/CHEBI_132250		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(+)-dehydrodiconiferyl acid ketone	related	UniProt	CHEBI:131936	(+)-DCA-CL(1-)				different_inchikeys
(+)-delta-selinene	exact	UniProt	CHEBI:49279	(+)-delta-selinene				different_inchikeys
(+)-endo-beta-bergamotene	exact	UniProt	CHEBI:61678	(+)-endo-beta-bergamotene				different_inchikeys
(+)-epi-alpha-bisabolol	exact	UniProt	CHEBI:68658	(+)-epi-alpha-bisabolol				different_inchikeys
(+)-epi-isozizaene	exact	UniProt	CHEBI:51458	(+)-epi-isozizaene				different_inchikeys
(+)-epicubenol	exact	UniProt	CHEBI:61686	(+)-epicubenol				different_inchikeys
(+)-eremophilene	exact	UniProt	CHEBI:137562	(+)-eremophilene				different_inchikeys
(+)-gamma-cadinene	exact	UniProt	CHEBI:63205	(+)-gamma-cadinene				different_inchikeys
(+)-germacrene D	exact	UniProt	CHEBI:49046	(+)-germacrene D				different_inchikeys
(+)-guaia-6,9-diene	exact	UniProt	CHEBI:49204	(+)-guaia-6,9-diene				different_inchikeys
(+)-isoafricanol	exact	UniProt	CHEBI:137522	(+)-isoafricanol				different_inchikeys
(+)-kolavelool	exact	UniProt	CHEBI:138313	(+)-kolavelool				different_inchikeys
(+)-kolavenyl diphosphate	related	UniProt	CHEBI:138311	(+)-kolavenyl diphosphate(3-)	label+http://purl.obolibrary.org/obo/CHEBI_139034		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(+)-lariciresinol	exact	UniProt	CHEBI:67246	(+)-lariciresinol				different_inchikeys
(+)-larreatricin	exact	UniProt	CHEBI:67153	(+)-larreatricin				different_inchikeys
(+)-muconolactone	related	UniProt	CHEBI:58736	(S)-5-oxo-2,5-dihydro-2-furylacetate				different_inchikeys
(+)-neomenthol	exact	UniProt	CHEBI:15402	(+)-neomenthol				different_inchikeys
