class	class label	textdef	rhea	ec	metacyc
ca:	catalytic activity	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.			
GO:0004133	glycogen debranching enzyme activity	Catalysis of the cleavage of branch points in branched glycogen polymers.			
GO:0009975	cyclase activity	Catalysis of a ring closure reaction.			
GO:0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.		EC:1	
GO:0016740	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.		EC:2	
GO:0016787	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.		EC:3	
GO:0016829	lyase activity	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.		EC:4	
GO:0016853	isomerase activity	Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.		EC:5	
GO:0016874	ligase activity	Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6	
GO:0032451	demethylase activity	Catalysis of the removal of a methyl group from a substrate.			
GO:0061783	peptidoglycan muralytic activity	A catalytic activity that contributes to the degradation of peptidoglycan.			
GO:0140096	catalytic activity, acting on a protein	Catalytic activity that acts to modify a protein.			
GO:0140097	catalytic activity, acting on DNA	Catalytic activity that acts to modify DNA.			
GO:0140098	catalytic activity, acting on RNA	Catalytic activity that acts to modify RNA.			
GO:0004134	4-alpha-glucanotransferase activity	Catalysis of the transfer of a segment of a (1->4)-alpha-D-glucan to a new 4-position in an acceptor, which may be glucose or (1->4)-alpha-D-glucan.		EC:2.4.1.25	MetaCyc:AMYLOMALT-RXN|MetaCyc:RXN-1828|MetaCyc:RXN-9023
GO:0004135	amylo-alpha-1,6-glucosidase activity	Catalysis of the hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen phosphorylase limit dextrin. Limit dextrin is the highly branched core that remains after exhaustive treatment of glycogen with glycogen phosphorylase. It is formed because these enzymes cannot hydrolyze the (1->6) glycosidic linkages present.		EC:3.2.1.33	MetaCyc:3.2.1.33-RXN
GO:0019156	isoamylase activity	Catalysis of the hydrolysis of alpha-(1,6)-D-glucosidic branch linkages in glycogen, amylopectin and their beta-limits dextrins.		EC:3.2.1.68	MetaCyc:3.2.1.68-RXN|MetaCyc:RXN-12280|MetaCyc:RXN-14380
GO:0033190	solanapyrone synthase activity	Catalysis of the cyclization of double bonds in prosolanapyrone II to form (-)-solanapyrone A.			
GO:0045435	lycopene epsilon cyclase activity	Catalysis of the cyclization of an epsilon ring at one end of the lycopene molecule (psi, psi-carotene) to form delta-carotene (epsilon, psi-carotene).			
GO:0045436	lycopene beta cyclase activity	Catalysis of the cyclization of beta rings at one or both ends of the lycopene molecule (psi, psi-carotene) to form gamma-carotene or the bicyclic beta-carotene (beta, beta-carotene), respectively.			MetaCyc:RXN1F-150
GO:0000170	sphingosine hydroxylase activity	Catalysis of the hydroxylation of sphingolipid long chain bases.			
GO:0003826	alpha-ketoacid dehydrogenase activity	Catalysis of an oxidation-reduction (redox) reaction involving an alpha-ketoacid.			
GO:0004497	monooxygenase activity	Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.			
GO:0004836	tyramine-beta hydroxylase activity	Catalysis of the hydroxylation of tyramine to form octopamine.			
GO:0009055	electron transfer activity	Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.			
GO:0010242	oxygen evolving activity	Catalysis of the reaction: 2 H2O = O2 + 4 H+ + 4 e-. The evolution of oxygen from oxidizing water is carried out by the oxygen evolving complex in photosystem II of plants. P680+, the photochemically oxidized reaction-center chlorophyll of PSII, is a strong biological oxidant. The reduction potential of P680+ is more positive than that of water, and thus it can oxidize water to give O2 and H+ ions. The oxygen escapes as a gas while the H+ ions remain in solution inside the thylakoid vesicle.			MetaCyc:PSII-RXN|MetaCyc:RXN0-5265
GO:0015002	heme-copper terminal oxidase activity	Catalysis of the four-electron reduction of dioxygen (O2) to water, coupled to generation of a proton electrochemical gradient across a membrane.			
GO:0015048	phthalate dioxygenase reductase activity	Catalysis of the transfer of electrons between pyridine nucleotides (obligatory two-electron carriers) and hemes or (2Fe-2S) centers (obligatory one-electron carriers) in respiration, photosynthesis, and many oxygenase systems.			
GO:0016229	steroid dehydrogenase activity	Catalysis of an oxidation-reduction (redox) reaction in which one substrate is a sterol derivative.		EC:1.1.1	
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.1	
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.3	
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH2 group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.4	
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.5	
GO:0016651	oxidoreductase activity, acting on NAD(P)H	Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.6	
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors	Catalysis of an oxidation-reduction (redox) reaction in which a nitrogenous group, excluding NH and NH2 groups, acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.7	
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a sulfur-containing group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.8	
