class	class label	def	op	goleft	goright	rhea	rhea label	is_match	info	info label
http://purl.obolibrary.org/obo/GO_0003824	catalytic activity	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.								
http://purl.obolibrary.org/obo/GO_0004133	glycogen debranching enzyme activity	Catalysis of the cleavage of branch points in branched glycogen polymers.								
http://purl.obolibrary.org/obo/GO_0009975	cyclase activity	Catalysis of a ring closure reaction.								
http://purl.obolibrary.org/obo/GO_0010280	UDP-L-rhamnose synthase activity	Catalysis of the reaction: UDP-D-glucose + NADPH + H+ = UDP-L-rhamnose + NADP+ + H2O.								
http://purl.obolibrary.org/obo/GO_0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.								
http://purl.obolibrary.org/obo/GO_0016740	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.								
http://purl.obolibrary.org/obo/GO_0016787	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.								
http://purl.obolibrary.org/obo/GO_0016829	lyase activity	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.								
http://purl.obolibrary.org/obo/GO_0016853	isomerase activity	Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.								
http://purl.obolibrary.org/obo/GO_0016874	ligase activity	Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.								
http://purl.obolibrary.org/obo/GO_0032451	demethylase activity	Catalysis of the removal of a methyl group from a substrate.								
http://purl.obolibrary.org/obo/GO_0061783	peptidoglycan muralytic activity	A catalytic activity that contributes to the degradation of peptidoglycan.								
http://purl.obolibrary.org/obo/GO_0140096	catalytic activity, acting on a protein	Catalytic activity that acts to modify a protein.								
http://purl.obolibrary.org/obo/GO_0140097	catalytic activity, acting on DNA	Catalytic activity that acts to modify DNA.								
http://purl.obolibrary.org/obo/GO_0140098	catalytic activity, acting on RNA	Catalytic activity that acts to modify RNA.								
http://purl.obolibrary.org/obo/GO_0004134	4-alpha-glucanotransferase activity	Catalysis of the transfer of a segment of a (1->4)-alpha-D-glucan to a new 4-position in an acceptor, which may be glucose or (1->4)-alpha-D-glucan.								
http://purl.obolibrary.org/obo/GO_0004135	amylo-alpha-1,6-glucosidase activity	Catalysis of the hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen phosphorylase limit dextrin. Limit dextrin is the highly branched core that remains after exhaustive treatment of glycogen with glycogen phosphorylase. It is formed because these enzymes cannot hydrolyze the (1->6) glycosidic linkages present.								
http://purl.obolibrary.org/obo/GO_0019156	isoamylase activity	Catalysis of the hydrolysis of alpha-(1,6)-D-glucosidic branch linkages in glycogen, amylopectin and their beta-limits dextrins.								
http://purl.obolibrary.org/obo/GO_0003963	RNA-3'-phosphate cyclase activity	Catalysis of the reaction: ATP + RNA 3'-terminal-phosphate = AMP + diphosphate + RNA terminal-2',3'-cyclic-phosphate.								
http://purl.obolibrary.org/obo/GO_0004016	adenylate cyclase activity	Catalysis of the reaction: ATP = 3',5'-cyclic AMP + diphosphate.	=	http://purl.obolibrary.org/obo/CHEBI_30616/ATP(4-)-1	http://purl.obolibrary.org/obo/CHEBI_58165/3',5'-cyclic AMP(1-)-1|http://purl.obolibrary.org/obo/CHEBI_18361/diphosphate(4-)-1	http://rdf.rhea-db.org/15389	ATP = 3',5'-cyclic AMP + diphosphate	nomatch	http://purl.obolibrary.org/obo/CHEBI_30616|http://purl.obolibrary.org/obo/CHEBI_33019|http://purl.obolibrary.org/obo/CHEBI_58165	ATP(4-)|diphosphate(3-)|3',5'-cyclic AMP(1-)
