class	class label	rhea_name	info	score	ambiguous_with	ambiguous_with label
CHEBI:65213	2-acyl-sn-glycero-3-phosphoethanolamine zwitterion	2-acyl-sn-glycero-3-phosphoethanolamine	ambiguous(http://purl.obolibrary.org/obo/CHEBI_28936)	0.8571428571428571	CHEBI:28936	2-acyl-sn-glycero-3-phosphoethanolamine
CHEBI:138951	3'-hydroxy-5'-unsubstituted flavanone	3'-hydroxy,5'-unsubstituted flavanone	newsyn	0.8		
CHEBI:57930	nucleoside 5'-diphosphate(3-)	ribonucleoside 5'-diphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37075)	0.75	CHEBI:37075	ribonucleoside 5'-diphosphate
CHEBI:58608	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycero-3-phosphate	newsyn	0.8571428571428571		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:59871	D-alpha-amino acid zwitterion	D-amino acid	newsyn	0.75		
CHEBI:85638	haloacetate(1-)	haloacetate	newsyn	0.5		
CHEBI:140764	beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-alpha-D-galactosaminide(1-)	beta-D-galactosyl-(1->3)-[N-acetyl-alpha-neuraminyl-(2->6)]-N-acetyl-alpha-D-galactosaminyl derivative	newsyn	0.9285714285714286		
CHEBI:64612	1,2-diacyl-sn-glycero-3-phosphoethanolamine zwitterion	1,2-diacyl-sn-glycero-3-phosphoethanolamine	ambiguous(http://purl.obolibrary.org/obo/CHEBI_16038)	0.8571428571428571	CHEBI:16038	phosphatidylethanolamine
CHEBI:65317	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37016)	0.8	CHEBI:37016	2'-deoxyribonucleoside 5'-phosphate
CHEBI:68671	CMP-N-acyl-beta-neuraminate(2-)	CMP-N-acyl-beta-neuraminate	newsyn	0.8333333333333334		
CHEBI:132124	1,4-benzoquinones	quinone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_36141)	0.5	CHEBI:36141	quinone
CHEBI:16291	1-alkyl-2-acetyl-sn-glycerol	1-O-alkyl-2-acetyl-sn-glycerol	newsyn	0.875		
CHEBI:58332	CDP-diacylglycerol(2-)	CDP-1,2-diacyl-sn-glycerol	newsyn	0.8333333333333334		
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:57265	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-)	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_12194)	1	CHEBI:12194	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:57997	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol zwitterion	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17049)	0.9	CHEBI:17049	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	0.9		
CHEBI:77450	dicarboxylic acid monoamide(1-)	monoamide of a dicarboxylate	newsyn	1		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:35757	monocarboxylic acid anion	monocarboxylate	newsyn	0.5		
CHEBI:136853	3-(acyloxy)acyl group	3-(acyloxy)acyl derivative of bacterial toxin	newsyn	0.875		
CHEBI:17855	triglyceride	triacylglycerol	newsyn	0.5		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
