class	class label	op	goleft	goright	rhea	rhea label	score	info	info label	def
GO:0052604	delta-tocopherol cyclase activity	=	http://x.org/noparse#2-methyl-6-phytyl-1,4-benzoquinone/2-methyl-6-phytyl-1,4-benzoquinone-1	http://purl.obolibrary.org/obo/CHEBI_47772/delta-tocopherol-1	rh:37987	delta-tocopherol = 2-methyl-6-phytyl-1,4-benzene-1,4-diol	-40	2-methyl-6-phytyl-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75920		Catalysis of the reaction: 2-methyl-6-phytyl-1,4-benzoquinone = delta-tocopherol.
GO:0052604	delta-tocopherol cyclase activity	=	http://x.org/noparse#2-methyl-6-phytyl-1,4-benzoquinone/2-methyl-6-phytyl-1,4-benzoquinone-1	http://purl.obolibrary.org/obo/CHEBI_47772/delta-tocopherol-1	rh:37987	delta-tocopherol = 2-methyl-6-phytyl-1,4-benzene-1,4-diol	-42	2-methyl-6-phytyl-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75920		Catalysis of the reaction: 2-methyl-6-phytyl-1,4-benzoquinone = delta-tocopherol.
GO:0052605	gamma-tocopherol cyclase activity	=	http://x.org/noparse#2,3-dimethyl-6-phytyl-1,4-benzoquinone/2,3-dimethyl-6-phytyl-1,4-benzoquinone-1	http://purl.obolibrary.org/obo/CHEBI_18185/gamma-tocopherol-1	rh:37983	gamma-tocopherol = 2,3-dimethyl-6-phytylbenzene-1,4-diol	-40	2,3-dimethyl-6-phytyl-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75921		Catalysis of the reaction: 2,3-dimethyl-6-phytyl-1,4-benzoquinone = gamma-tocopherol.
GO:0052605	gamma-tocopherol cyclase activity	=	http://x.org/noparse#2,3-dimethyl-6-phytyl-1,4-benzoquinone/2,3-dimethyl-6-phytyl-1,4-benzoquinone-1	http://purl.obolibrary.org/obo/CHEBI_18185/gamma-tocopherol-1	rh:37983	gamma-tocopherol = 2,3-dimethyl-6-phytylbenzene-1,4-diol	-42	2,3-dimethyl-6-phytyl-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75921		Catalysis of the reaction: 2,3-dimethyl-6-phytyl-1,4-benzoquinone = gamma-tocopherol.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:17953	3-hydroxyanthranilate + O2 = (2Z,4Z)-2-amino-3-carboxymuconate 6-semialdehyde	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_36559|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_77612	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:21340	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene + O2 = 2 4-hydroxy-3-methoxybenzaldehyde	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_18346|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_17501	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:26305	2-aminophenol + O2 = 2-aminomuconate 6-semialdehyde	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_77634|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_18112	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:37543	2-amino-5-chlorophenol + O2 = 2-amino-5-chloromuconate 6-semialdehyde	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75057|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_75051	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:41311	1-O-methyl (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = 1-O-methyl (5Z,8Z,10E,12R,14Z)-hydroperoxyiecosatetraenoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78033|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78034	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:41315	1-O-methyl (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = (5Z,8Z,10E,12S,14Z)-hydroperoxyeicosatetraenoate methyl ester	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78033|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78035	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
