class	class label	rhea	metacyc	ec	umbbd_enzyme	umbbd_reaction	kegg	img	is_leaf
GO:0004133	glycogen debranching enzyme activity								false
GO:0009975	cyclase activity								false
GO:0010280	UDP-L-rhamnose synthase activity		MetaCyc:RXN-5482						true
GO:0016491	oxidoreductase activity			EC:1					false
GO:0016740	transferase activity			EC:2					false
GO:0016787	hydrolase activity			EC:3					false
GO:0016829	lyase activity			EC:4					false
GO:0016853	isomerase activity			EC:5					false
GO:0016874	ligase activity			EC:6					false
GO:0032451	demethylase activity								false
GO:0061783	peptidoglycan muralytic activity								false
GO:0140096	catalytic activity, acting on a protein								false
GO:0140097	catalytic activity, acting on DNA								false
GO:0140098	catalytic activity, acting on RNA								false
GO:0004134	4-alpha-glucanotransferase activity		MetaCyc:AMYLOMALT-RXN|MetaCyc:RXN-1828|MetaCyc:RXN-9023	EC:2.4.1.25					true
GO:0004135	amylo-alpha-1,6-glucosidase activity		MetaCyc:3.2.1.33-RXN	EC:3.2.1.33					true
GO:0019156	isoamylase activity		MetaCyc:3.2.1.68-RXN|MetaCyc:RXN-12280|MetaCyc:RXN-14380	EC:3.2.1.68					true
GO:0003963	RNA-3'-phosphate cyclase activity		MetaCyc:RNA-3-PHOSPHATE-CYCLASE-RXN	EC:6.5.1.4					true
GO:0004016	adenylate cyclase activity	RHEA:15389	MetaCyc:ADENYLATECYC-RXN	EC:4.6.1.1					false
GO:0004383	guanylate cyclase activity	RHEA:13665	MetaCyc:GUANYLCYC-RXN	EC:4.6.1.2					true
GO:0009976	tocopherol cyclase activity								true
GO:0033190	solanapyrone synthase activity								true
GO:0034012	FAD-AMP lyase (cyclizing) activity			EC:4.6.1.15					true
GO:0034072	squalene cyclase activity								false
GO:0035439	halimadienyl-diphosphate synthase activity	RHEA:25621		EC:5.5.1.16					true
GO:0036356	cyclic 2,3-diphosphoglycerate synthetase activity			EC:4.6.1					true
GO:0045435	lycopene epsilon cyclase activity								true
GO:0045436	lycopene beta cyclase activity		MetaCyc:RXN1F-150						true
GO:0046423	allene-oxide cyclase activity	RHEA:22592	MetaCyc:ALLENE-OXIDE-CYCLASE-RXN	EC:5.3.99.6			KEGG:R03402		false
GO:0047768	carboxy-cis,cis-muconate cyclase activity	RHEA:14977	MetaCyc:CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN	EC:5.5.1.5			KEGG:R03308		true
GO:0047805	cytidylate cyclase activity	RHEA:14737	MetaCyc:CYTIDYLATE-CYCLASE-RXN	EC:4.6.1.6			KEGG:R00574		true
GO:0047820	D-glutamate cyclase activity	RHEA:22360	MetaCyc:D-GLUTAMATE-CYCLASE-RXN	EC:4.2.1.48			KEGG:R01583		true
GO:0047926	geranyl-diphosphate cyclase activity	RHEA:18209	MetaCyc:GERANYL-DIPHOSPHATE-CYCLASE-RXN	EC:5.5.1.8			KEGG:R02007		true
GO:0050230	purine imidazole-ring cyclase activity		MetaCyc:PURINE-IMIDAZOLE-RING-CYCLASE-RXN	EC:4.3.2.4					true
GO:0052604	delta-tocopherol cyclase activity		MetaCyc:RXN-2561				KEGG:R07503		true
GO:0052605	gamma-tocopherol cyclase activity		MetaCyc:RXN-2543				KEGG:R07502		true
GO:0061811	ADP-ribosyl cyclase activity								true
GO:0080015	sabinene synthase activity		MetaCyc:RXN-5103	EC:4.2.3					true
GO:0080016	(-)-E-beta-caryophyllene synthase activity		MetaCyc:RXN-8414	EC:4.2.3					true
GO:0080017	alpha-humulene synthase activity		MetaCyc:RXN-8415	EC:4.2.3					true
GO:0000170	sphingosine hydroxylase activity								true
GO:0001512	dihydronicotinamide riboside quinone reductase activity		MetaCyc:1.10.99.2-RXN	EC:1.10.99.2					true
GO:0003826	alpha-ketoacid dehydrogenase activity								true
GO:0004154	dihydropterin oxidase activity			EC:1.5.3					true
GO:0004497	monooxygenase activity								false
GO:0004800	thyroxine 5'-deiodinase activity	RHEA:19745	MetaCyc:THYROXINE-DEIODINASE-RXN	EC:1.97.1.10					true
GO:0004836	tyramine-beta hydroxylase activity								true
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity		MetaCyc:OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN						true
GO:0009055	electron transfer activity								false
GO:0010242	oxygen evolving activity		MetaCyc:PSII-RXN|MetaCyc:RXN0-5265						true
GO:0015002	heme-copper terminal oxidase activity								false
GO:0015039	NADPH-adrenodoxin reductase activity		MetaCyc:RXN-13685	EC:1.18.1.6					true
GO:0015048	phthalate dioxygenase reductase activity								true
GO:0016229	steroid dehydrogenase activity			EC:1.1.1					false
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors			EC:1.1					false
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors			EC:1.3					false
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors			EC:1.4					false
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors			EC:1.5					false
GO:0016651	oxidoreductase activity, acting on NAD(P)H			EC:1.6					false
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors			EC:1.7					false
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors			EC:1.8					false
GO:0016675	oxidoreductase activity, acting on a heme group of donors			EC:1.9					false
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors			EC:1.10					false
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor			EC:1.11					false
GO:0016695	oxidoreductase activity, acting on hydrogen as donor			EC:1.12					false
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen			EC:1.13					false
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen			EC:1.14					false
GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor			EC:1.15					false
GO:0016722	oxidoreductase activity, oxidizing metal ions			EC:1.16					false
GO:0016725	oxidoreductase activity, acting on CH or CH2 groups			EC:1.17					false
GO:0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors			EC:1.18					false
GO:0016737	oxidoreductase activity, acting on reduced flavodoxin as donor			EC:1.19					false
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors			EC:1.2					false
GO:0018698	vinyl chloride reductive dehalogenase activity		MetaCyc:VCREDCHLOR-RXN	EC:1.97.1		UM-BBD_reactionID:r0352			true
GO:0018699	1,1,1-trichloroethane reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r1007			true
GO:0018700	2-chloro-N-isopropylacetanilide reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0719			true
GO:0018701	2,5-dichlorohydroquinone reductive dehalogenase activity			EC:1.97.1	UM-BBD_enzymeID:e0366				true
GO:0018702	1,1-dichloro-2,2-bis(4-chlorophenyl)ethene dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0440			true
GO:0018703	2,4-dichlorophenoxyacetate dehalogenase activity					UM-BBD_reactionID:r0280			true
GO:0018705	1,2-dichloroethene reductive dehalogenase activity				UM-BBD_enzymeID:e0272				true
GO:0018706	pyrogallol hydroxytransferase activity		MetaCyc:1.97.1.2-RXN	EC:1.97.1.2		UM-BBD_reactionID:r0006			true
GO:0019168	2-octaprenylphenol hydroxylase activity		MetaCyc:2-OCTAPRENYLPHENOL-HYDROX-RXN						true
GO:0019174	tetrahydrothiophene 1-oxide reductase activity		MetaCyc:THTOREDUCT-RXN						true
GO:0030611	arsenate reductase activity								false
GO:0030613	oxidoreductase activity, acting on phosphorus or arsenic in donors			EC:1.20					false
GO:0033796	sulfur reductase activity		MetaCyc:1.97.1.3-RXN|MetaCyc:RXN-8269	EC:1.97.1.3					true
